commune,latitude,longitude,sport,source
Corbelin,45.6112645456,5.53816884756,tennis,equipement
Diémoz,45.59163,5.09586,tennis,equipement
Grenoble,45.1711009027,5.75060516596,tennis,equipement
Miribel-les-Échelles,45.4346,5.71146,tennis,equipement
Moidieu-Détourbe,45.51274,5.01485,tennis,equipement
Noyarey,45.2453888652,5.63517361879,tennis,equipement
Pont-Évêque,45.5316694552,4.92465108633,tennis,equipement
Saint-Martin-d'Uriage,45.15005,5.83505,tennis,equipement
Saint-Maurice-l'Exil,45.40358,4.77298,tennis,equipement
Saint-Quentin-Fallavier,45.6387493029,5.10268807411,tennis,equipement
Saint-Victor-de-Cessieu,45.54682,5.38973,tennis,equipement
Satolas-et-Bonce,45.6955360066,5.1265758276,tennis,equipement
Serpaize,45.55664,4.9173,tennis,equipement
Seyssins,45.164346079,5.6890591979,tennis,equipement
La Verpillière,45.63979,5.13168,tennis,equipement
Villeneuve-de-Marc,45.47376,5.10411,tennis,equipement
Villette-d'Anthon,45.7963258627,5.11862844229,tennis,equipement
Bois-d'Amont,46.53635,6.13746,tennis,equipement
Chaussin,46.9695,5.41019,tennis,equipement
Foucherans,47.08473,5.46089,tennis,equipement
Les Moussières,46.31713,5.89503,tennis,equipement
Saint-Claude,46.37639,5.87247,tennis,equipement
Angresse,43.65682,-1.37463,tennis,equipement
Castets,43.87951,-1.1377,tennis,equipement
Gabarret,43.99192,0.00859,tennis,equipement
Gastes,44.32786,-1.14346,tennis,equipement
Gastes,44.31245,-1.17026,tennis,equipement
Habas,43.57397,-0.92894,tennis,equipement
Labatut,43.55105635,-0.98219877,tennis,equipement
Labouheyre,44.192672,-0.915899,padel,equipement
Léon,43.88355,-1.31093,tennis,equipement
Luxey,44.2666,-0.52094,tennis,equipement
Magescq,43.7782,-1.21545,tennis,equipement
Mont-de-Marsan,43.89672,-0.47955,tennis,equipement
Morcenx-la-Nouvelle,44.03939,-0.91091,tennis,equipement
Narrosse,43.69185,-1.00759,tennis,equipement
Ondres,43.56788,-1.45171,tennis,equipement
Rion-des-Landes,43.93497212,-0.9153212,tennis,equipement
Sainte-Colombe,43.68047,-0.55986,tennis,equipement
Saint-Martin-de-Hinx,43.58373,-1.26513,tennis,equipement
Sanguinet,44.48285,-1.08359,tennis,equipement
Saugnac-et-Cambran,43.67235,-0.99251,tennis,equipement
Saugnac-et-Muret,44.40855,-0.8264,tennis,equipement
Tosse,43.69272,-1.32937,tennis,equipement
Blois,47.57501,1.30256,tennis,equipement
Le Controis-en-Sologne,47.42249,1.43024,tennis,equipement
Herbault,47.60425,1.14709,tennis,equipement
Lestiou,47.73757,1.59115,tennis,equipement
Mondoubleau,47.98353,0.89402,tennis,equipement
Oucques La Nouvelle,47.82401,1.30011,tennis,equipement
Romorantin-Lanthenay,47.3547433378,1.75463140011,tennis,equipement
Salbris,47.43065,2.06008,tennis,equipement
Seigy,47.25489,1.39645,tennis,equipement
Selles-sur-Cher,47.27748,1.5446,tennis,equipement
Villefranche-sur-Cher,47.2968,1.77213,tennis,equipement
Vineuil,47.58619,1.385,tennis,equipement
Vineuil,47.6091735327,1.37714095696,tennis,equipement
Vineuil,47.5867268967,1.38419151306,tennis,equipement
Andrézieux-Bouthéon,45.5297604326,4.27037447691,tennis,equipement
Commelle-Vernay,46.0105772807,4.06965941191,tennis,equipement
Lézigneux,45.56098,4.06871,tennis,equipement
Lorette,45.50785,4.58446,tennis,equipement
Poncins,45.73046358,4.1595594,tennis,equipement
Pouilly-sous-Charlieu,46.149551083,4.11207854748,tennis,equipement
Renaison,46.0493149763,3.92144590616,tennis,equipement
Saint-Bonnet-le-Château,45.42216,4.0724,tennis,equipement
Saint-Étienne,45.42731,4.41174,tennis,equipement
Genilac,45.5348109342,4.58592027426,tennis,equipement
Saint-Léger-sur-Roanne,46.0336421616,3.99836629629,tennis,equipement
La Talaudière,45.47942551,4.43816494,tennis,equipement
Unieux,45.3947360312,4.27901118994,tennis,equipement
Unieux,45.39467525,4.27868764,tennis,equipement
Veauche,45.5562930433,4.29074853659,tennis,equipement
Villars,45.47280071,4.36420865,tennis,equipement
Le Chambon-sur-Lignon,45.0633258903,4.31556165218,tennis,equipement
Lapte,45.18441,4.21206,tennis,equipement
Paulhaguet,45.21207,3.51721,tennis,equipement
Aigrefeuille-sur-Maine,47.07583,-1.40851,tennis,equipement
Ancenis-Saint-Géréon,47.3667,-1.18322,tennis,equipement
Avessac,47.6507286876,-1.99595779181,tennis,equipement
Villeneuve-en-Retz,47.02632,-1.87729,tennis,equipement
Châteaubriant,47.70939,-1.36088,tennis,equipement
Le Croisic,47.2886219659,-2.51444756985,tennis,equipement
La Baule-Escoublac,47.28279,-2.41373,tennis,equipement
La Baule-Escoublac,47.2801,-2.36476,padel,equipement
Guenrouet,47.51279,-1.96244,tennis,equipement
Guérande,47.3389,-2.42313,tennis,equipement
Maisdon-sur-Sèvre,47.09653,-1.3808,tennis,equipement
Nantes,47.25329,-1.55464,tennis,equipement
Oudon,47.34662,-1.28185,tennis,equipement
Le Pin,47.5854,-1.1566,tennis,equipement
Marseille 1er Arrondissement,43.3062,5.391685,tennis,equipement
Marans,46.307558,-0.988126,tennis,equipement
Montpellier,43.61234,3.88596,tennis,equipement
Châteauroux,46.79618,1.71017,tennis,equipement
Saint-Martin-d'Hères,45.190975,5.776126,tennis,equipement
Nantes,47.23484,-1.51346,tennis,equipement
Pornichet,47.2595734105,-2.33134388924,tennis,equipement
Sainte-Anne-sur-Brivet,47.46091,-2.0085,tennis,equipement
Sainte-Luce-sur-Loire,47.24558,-1.48051,tennis,equipement
Amilly,47.98971,2.76744,tennis,equipement
Baccon,47.88898,1.62735,tennis,equipement
Baule,47.81212,1.6729,tennis,equipement
Bazoches-les-Gallerandes,48.16479,2.04484,tennis,equipement
Beaugency,47.7745294087,1.62890017033,tennis,equipement
Châtillon-sur-Loire,47.5863,2.75519,tennis,equipement
Chevilly,48.0269462306,1.87317260906,tennis,equipement
La Ferté-Saint-Aubin,47.71884,1.9529,tennis,equipement
Ingré,47.9198918707,1.83981129672,tennis,equipement
Ménestreau-en-Villette,47.69547,2.02168,tennis,equipement
Orléans,47.8301,1.92085,tennis,equipement
Outarville,48.2103719115,2.01668590307,tennis,equipement
