insee_com;annee;nb_mutations;nb_maisons;nb_apparts;prop_maison;prop_appart;prix_moyen;prix_m2_moyen;surface_moy;dep_code
77252;2024;9;9.0;0.0;0.0;100.0;410039;2968;138;77
77253;2024;4;4.0;0.0;0.0;100.0;244850;1996;122;77
77254;2024;11;11.0;0.0;0.0;100.0;337493;2959;116;77
77255;2024;12;12.0;0.0;0.0;100.0;266433;2658;102;77
77256;2024;5;5.0;0.0;0.0;100.0;192630;1813;104;77
77257;2024;36;24.0;12.0;33.0;67.0;165376;2161;79;77
77258;2024;87;11.0;76.0;87.0;13.0;224632;3543;67;77
77259;2024;26;18.0;8.0;31.0;69.0;226853;3292;77;77
77260;2024;10;9.0;1.0;10.0;90.0;169500;1933;90;77
77261;2024;19;19.0;0.0;0.0;100.0;176581;1771;99;77
77262;2024;4;4.0;0.0;0.0;100.0;199500;1440;140;77
77263;2024;6;6.0;0.0;0.0;100.0;184017;1673;112;77
77264;2024;22;22.0;0.0;0.0;100.0;290176;2463;125;77
77265;2024;10;10.0;0.0;0.0;100.0;200455;2056;106;77
77266;2024;5;4.0;1.0;20.0;80.0;243940;2957;91;77
77267;2024;2;2.0;0.0;0.0;100.0;197480;1976;101;77
77268;2024;73;34.0;39.0;53.0;47.0;404943;4788;85;77
77269;2024;20;15.0;5.0;25.0;75.0;222811;2966;78;77
77270;2024;7;7.0;0.0;0.0;100.0;254764;2707;103;77
77272;2024;7;7.0;0.0;0.0;100.0;170817;1764;101;77
77273;2024;8;8.0;0.0;0.0;100.0;292169;3086;99;77
77274;2024;6;5.0;1.0;17.0;83.0;191167;2522;76;77
77275;2024;3;3.0;0.0;0.0;100.0;164000;1395;123;77
77276;2024;29;22.0;7.0;24.0;76.0;255046;2973;95;77
77277;2024;14;11.0;3.0;21.0;79.0;267850;2773;101;77
77278;2024;6;6.0;0.0;0.0;100.0;288567;2459;128;77
77279;2024;7;7.0;0.0;0.0;100.0;333284;3008;105;77
77280;2024;12;11.0;1.0;8.0;92.0;224367;2318;106;77
77281;2024;7;7.0;0.0;0.0;100.0;323429;2649;123;77
77283;2024;7;7.0;0.0;0.0;100.0;203589;2495;82;77
77284;2024;484;80.0;404.0;83.0;17.0;178644;2912;65;77
77285;2024;125;45.0;80.0;64.0;36.0;173943;2122;83;77
77286;2024;3;3.0;0.0;0.0;100.0;231000;1734;130;77
77287;2024;2;2.0;0.0;0.0;100.0;174500;1602;112;77
77288;2024;396;70.0;326.0;82.0;18.0;157000;2743;60;77
77289;2024;4;4.0;0.0;0.0;100.0;138375;1152;131;77
77290;2024;10;10.0;0.0;0.0;100.0;143799;2652;55;77
77291;2024;8;8.0;0.0;0.0;100.0;195625;2834;70;77
77292;2024;11;8.0;3.0;27.0;73.0;299959;3456;90;77
77293;2024;10;10.0;0.0;0.0;100.0;234284;3048;83;77
77294;2024;136;109.0;27.0;20.0;80.0;272403;3638;81;77
77295;2024;12;11.0;1.0;8.0;92.0;237466;2719;91;77
77296;2024;136;70.0;66.0;49.0;51.0;219856;3122;72;77
77297;2024;1;1.0;0.0;0.0;100.0;130000;929;140;77
77298;2024;3;3.0;0.0;0.0;100.0;164000;1524;113;77
77300;2024;5;5.0;0.0;0.0;100.0;228023;2686;91;77
77301;2024;3;3.0;0.0;0.0;100.0;86000;1262;86;77
77302;2024;25;25.0;0.0;0.0;100.0;248117;2630;95;77
77303;2024;2;2.0;0.0;0.0;100.0;185000;1265;146;77
77305;2024;116;27.0;89.0;77.0;23.0;122026;2106;60;77
77306;2024;2;2.0;0.0;0.0;100.0;347625;2668;131;77
77307;2024;170;34.0;136.0;80.0;20.0;264260;4410;64;77
77308;2024;12;11.0;1.0;8.0;92.0;294820;2968;99;77
77309;2024;14;14.0;0.0;0.0;100.0;229393;2933;80;77
77310;2024;4;4.0;0.0;0.0;100.0;193125;1826;109;77
77311;2024;19;19.0;0.0;0.0;100.0;166517;1899;86;77
77312;2024;34;31.0;3.0;9.0;91.0;287267;2893;103;77
77313;2024;6;6.0;0.0;0.0;100.0;210000;1769;128;77
77315;2024;50;43.0;7.0;14.0;86.0;313089;3620;91;77
77316;2024;142;114.0;28.0;20.0;80.0;233279;2773;87;77
77317;2024;45;28.0;17.0;38.0;62.0;193989;2404;82;77
77318;2024;13;11.0;2.0;15.0;85.0;232169;2930;87;77
77320;2024;57;53.0;4.0;7.0;93.0;236522;2624;94;77
77321;2024;8;8.0;0.0;0.0;100.0;166521;1968;86;77
77322;2024;28;25.0;3.0;11.0;89.0;305820;2932;108;77
77323;2024;11;6.0;5.0;45.0;55.0;302630;2981;98;77
77325;2024;3;3.0;0.0;0.0;100.0;113000;1304;90;77
77326;2024;63;44.0;19.0;30.0;70.0;243708;2993;84;77
77327;2024;67;56.0;11.0;16.0;84.0;188699;2340;85;77
77328;2024;2;2.0;0.0;0.0;100.0;228000;2309;106;77
77329;2024;7;7.0;0.0;0.0;100.0;259679;2074;130;77
77330;2024;56;49.0;7.0;12.0;88.0;265298;2882;99;77
77331;2024;6;3.0;3.0;50.0;50.0;126167;1799;68;77
77332;2024;2;2.0;0.0;0.0;100.0;202000;2604;81;77
77333;2024;117;71.0;46.0;39.0;61.0;166936;2241;77;77
77335;2024;28;26.0;2.0;7.0;93.0;270440;2710;104;77
77336;2024;9;7.0;2.0;22.0;78.0;294223;3154;99;77
77337;2024;78;31.0;47.0;60.0;40.0;251925;3394;77;77
77338;2024;5;5.0;0.0;0.0;100.0;221800;2279;103;77
77339;2024;19;15.0;4.0;21.0;79.0;364886;3547;121;77
77340;2024;5;5.0;0.0;0.0;100.0;250560;2372;109;77
77341;2024;3;3.0;0.0;0.0;100.0;141510;1621;90;77
77342;2024;1;1.0;0.0;0.0;100.0;170000;1417;120;77
77343;2024;4;4.0;0.0;0.0;100.0;160600;2173;74;77
77344;2024;16;12.0;4.0;25.0;75.0;252750;2807;93;77
77345;2024;10;10.0;0.0;0.0;100.0;125539;1510;88;77
77347;2024;6;6.0;0.0;0.0;100.0;185317;2266;85;77
77348;2024;2;2.0;0.0;0.0;100.0;130000;2196;60;77
77349;2024;46;40.0;6.0;13.0;87.0;277215;3048;94;77
77350;2024;169;112.0;57.0;34.0;66.0;319278;3886;88;77
77352;2024;27;25.0;2.0;7.0;93.0;249398;3122;87;77
77353;2024;4;4.0;0.0;0.0;100.0;204775;1744;116;77
77354;2024;9;9.0;0.0;0.0;100.0;228403;2858;79;77
77357;2024;7;7.0;0.0;0.0;100.0;252750;2338;113;77
77358;2024;8;8.0;0.0;0.0;100.0;258120;2752;97;77
77359;2024;17;16.0;1.0;6.0;94.0;322391;3200;101;77
77360;2024;4;3.0;1.0;25.0;75.0;259300;2215;118;77
77361;2024;4;4.0;0.0;0.0;100.0;190250;2285;96;77
77363;2024;16;13.0;3.0;19.0;81.0;347215;4162;90;77
77364;2024;1;1.0;0.0;0.0;100.0;350000;6034;58;77
77365;2024;4;4.0;0.0;0.0;100.0;217375;2044;114;77
77366;2024;4;4.0;0.0;0.0;100.0;352750;3593;98;77
77367;2024;2;2.0;0.0;0.0;100.0;228250;1506;165;77
